iata_code,name,type,iso_country,municipality,latitude,longitude
KNP,Capanda Airport,small_airport,AO,Capanda,-9.76937007904, 15.4553194046
NDF,N'dalatando Airport,small_airport,AO,N'dalatando,-9.280378, 14.982432
AOB,Annanberg Airport,small_airport,PG,,-4.90416666667, 144.635833333
AOD,Abou-Deïa Airport,small_airport,TD,Abou-Deïa,11.4773, 19.2874
APP,Asapa Airport,small_airport,PG,,-8.979167, 148.103611
APR,April River Airport,small_airport,PG,April River,-4.67666666667, 142.540138889
QET,Troll Airfield,small_airport,AQ,Troll Station,-71.95714, 2.45257
AQY,Girdwood-Alyeska Airport,small_airport,US,Girdwood,60.968774, -149.119792
QRF,Bragado Airport,small_airport,AR,Bragado,-35.145811, -60.480294
CVI,Caleta Olivia Airport,small_airport,AR,Caleta Olivia,-46.37428, -67.59409
CNT,Charata Airport,small_airport,AR,Charata,-27.2164, -61.2103
VGS,General Villegas Airport,small_airport,AR,General Villegas,-34.995728, -62.999725
LMD,Los Menucos Airport,small_airport,AR,Los Menucos,-40.817699, -68.074699
VCF,Valcheta Airport,small_airport,AR,Valcheta,-40.7000007629, -66.1500015259
NCJ,Sunchales Aeroclub Airport,small_airport,AR,Sunchales,-30.9575, -61.5283
CPG,Carmen de Patagones Airport,small_airport,AR,Carmen de Patagones,-40.7781, -62.9803
PRQ,Termal Airport,small_airport,AR,Presidencia Roque Sáenz Peña,-26.753611, -60.492222
